Paper Title,Venue,Year,Data,Users,Users lables,Tasks,Tasks Labels,"Visualization Levels (Disseminative visualization, Observational visualization, Analytical visualization, Model-developmental visualization)",Visual Representations,Visual analytics techniques (approach),DOI Link,Keyword Search On,Notes,link in Dropbox,Search
Data interpretation and visualization of COVID-19 cases using R programming,,2021,"Data on COVID-19 diagnosed cases and deaths from December 2019 is collected automatically from www.statista.com, datahub.io, and the Multidisciplinary Digital Publishing Institute (MDPI).",unknown (researchers?), [Domain Subtype]: Researchers,"Data Visualization and Analysis: Developing an application for visualizing and analyzing COVID-19 data from densely populated countries like the United States, Japan, and India.
Tracking SARS-CoV-2 Epidemic: Systematically producing daily updated country-specific data visualization and analysis of the SARS-CoV-2 epidemic worldwide.",Analyze/Visualize,"Analytical Visualization, Observational Visualization","Interactive Web Application: Providing an online web application for users to visualize and analyze COVID-19 data. map with colors, Interactive geographic map","Data Collection: Automatic collection of COVID-19 data from multiple sources.
Data Processing: Analyzing the collected data using R programming to generate visualizations and insights.
Web Application Development: Developing an online application to present the visualizations and analysis results to users for better understanding of the SARS-CoV-2 epidemic worldwide.",https://doi.org/10.1016/j.imu.2021.100705,,,https://www.dropbox.com/scl/fi/p4o5slu48gigcwumt3ep9/Data-interpretation-and-visualization-of-COVID-19-cases-using-R-programming.pdf?rlkey=ylt2q8dq1kxdyj8ww1g9aqitw&dl=0,1st round
Data mining and visualization for prediction of multiple diseases in healthcare,,2017,Medical datasets but doesn't say what,,,"They presented a basic decision support system which can determine and extract previously unseen patterns, relations and concepts related with multiple disease from a historical database records of specified multiple diseases.",Analyze/Visualize,Model-Developmental Visualization,"2D/3D graphs like line graph, bar chart, pi chart,  ",,https://doi.org/10.1109/ICBDACI.2017.8070858,Healthcare + visualization,,https://www.dropbox.com/scl/fi/4sbiqkk6kh9bb8tbhlfjx/Data_mining_and_visualization_for_prediction_of_multiple_diseases_in_healthcare.pdf?rlkey=c6sfvwv65vcvk820z88t0hpts&dl=0,2nd round
Data Visualization and Analysis of COVID-19 Data,,2022,Unsure (?),public?; no visualizations shown in the paper?,[Public],"designing, developing, and evaluating various visualization methods to effectively communicate COVID-19 statistics to the public.",Analyze/Visualize,Disseminative Visualization,this work conducted interviews with dashboard designers,,https://doi.org/10.22214/ijraset.2022.47179,,,https://www.dropbox.com/scl/fi/xrqrzcpov7netcurx5eux/Data-Visualization-and-Analysis-of-COVID-19-Data.pdf?rlkey=vpjj6vxpsdsssxlya9olktdt9&dl=0,1st round
Data Visualization and Analyzation of COVID-19,,2020,Kaggle and Worldometer,unknown; contains 3d-pie charts and 3d-bar-charts,,"analyzing and visualizing different aspects of COVID-19 using the available datasets. This includes comparing symptoms, understanding differences between COVID-19 and other diseases, examining the impact of temperature on spread, analyzing demographic patterns of infection, identifying patterns in the increase of confirmed cases, and comparing the number of confirmed, recovered, and death cases across different countries.",Analyze/Visualize,Analytical Visualization ,"bar chart, line chart, pi chart, histogram, ",,http://dx.doi.org/10.9734/jsrr/2020/v26i330234,,,https://www.dropbox.com/scl/fi/pjzlxzzmle7pfqwh6j9gm/Data-Visualization-and-Analyzation-of-COVID-19.pdf?rlkey=vw4uxgt105esniwyxqnedzqa9&dl=0,1st round
Data Visualization for the Understanding of COVID-19,,2020,No mentioned what are the data sources,public/citizens; survey/opinion paper about public vis/dashboards,[Public], facilitate understanding of different aspects of the pandemic through visualization,Analyze/Visualize,Disseminative Visualization,"Dashboards and interactive tools, Choropleth maps Heatmap matrices, timeline, ", employing a range of visual analytics techniques to create effective visualizations,https://doi.org/10.1109/MCSE.2020.3019834,,,https://www.dropbox.com/scl/fi/wf1chl920xa788zwuyi1x/Data_Visualization_for_the_Understanding_of_COVID-19.pdf?rlkey=aiszoegzqvrj2xu3dax0g4a9m&dl=0,1st round
Data-Driven Healthcare: Challenges and Opportunities for Interactive Visualization,,2016,EHR systems - medical data (?),,,,,,,,https://doi.org/10.1109/MCG.2016.59,Healthcare + visualization,survey paper,https://www.dropbox.com/scl/fi/njeo01l73vzlnkic3ishk/Data-Driven_Healthcare_Challenges_and_Opportunities_for_Interactive_Visualization.pdf?rlkey=yjpc8qz1fwv8w6sb56loojbmy&dl=0,2nd round
Deploying geospatial visualization dashboards to combat the socioeconomic impacts of COVID-19,,2023,"COVID-19 data, socio-economic data, time-series-data",public/citizens (users with different knowledge levels about covid),[Public],"- They surveyed 68 public web-based COVID-19 dashboards using a nominal group technique to find that most dashboards report a wealth of epidemiologic data at the state and county levels.
- They built a dashboard project demonstrates a model that can inform decision-making (beyond plain information sharing) while being accessible by design",Analyze/Visualize,"Observational Visualization, Model-Developmental Visualization","dashboard that visualizes through drill-down buttons, navigation panels, map-based selection and filtering, and timeline sliders placed in strategic locations across the interface","assessing existing COVID-19 dashboards to identify their strengths and weaknesses. Additionally, an empirical experiment is conducted to build a prototype dashboard, the COVID-19 Economic Resilience Dashboard in Arizona, which aims to provide localized data, drill-down options, visualization narratives, open data access, and accessible features on the interface to support decision-making.",https://doi.org/10.1177/23998083221142863,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/6tasa5pmxnnvrdpcm12qd/deploying-geospatial-visualization-dashboards-to-combat-the-socioeconomic-impacts-of-covid-19.pdf?rlkey=qo65xwo6zxflvol4wloyawyqk&dl=0,1st & 2nd round
Designing for Mobile and Immersive Visual Analytics in the Field,IEEE TVCG,2020,,,,,,,,,https://doi.org/10.1109/TVCG.2019.2934282,Emergency responses + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/cpau1id58gq4yhr8no26r/Designing_for_Mobile_and_Immersive_Visual_Analytics_in_the_Field.pdf?rlkey=4s7qkblvr0lm2uy5fc1fda8kv&dl=0,2nd round
Development and Evaluation of Two Approaches of Visual Sensitivity Analysis to Support Epidemiological Modeling,IEEE TVCG,2023,There is no mentioned of where the data was obtained from. Simulated data and comparison with real data (but no mentioned of the source),modeling scientists/epidemiologists,[Domain Subtype]: modeling scientists/epidemiologists,"they developed and compared two visual analytics approaches, namely: algorithm-centric and visualization-assisted, and visualization-centric and algorithm-assisted.",Model/Visualize,Analytical Visualization,"Three visualizations were developed: bar chart (e.g. Sobol index plot), scatter-line plot, cluster-based technique","algorithm-centric and visualization-assisted, and visualization-centric and algorithm-assisted",https://doi.org/10.1109/TVCG.2022.3209464,Pandemic + visualization,,https://www.dropbox.com/scl/fi/2le5k69quon2nvrlg9luv/Development_and_Evaluation_of_Two_Approaches_of_Visual_Sensitivity_Analysis_to_Support_Epidemiological_Modeling.pdf?rlkey=dkg3fdtvg45w8lwo33y1pbgtz&dl=0,1st & 2nd round
EHDViz: clinical dashboard development using open-source technologies,,2016,"biomedical, healthcare and wellness data",healthcare professionals and researchers,[Domain Subtype]: healthcare professionals and researchers,"They designed, developed and prototyped clinical dashboards to integrate high-frequency health and wellness data streams using interactive and real-time data visualisation and analytics modalities.",Analyze/Visualize,Model-Developmental Visualization,"dashboards that include views with line chart, ","The EHDViz toolkit is introduced as a framework for developing web-based, real-time clinical dashboards. It leverages R packages for data management, normalization, and producing high-quality visualizations over the web using R/Shiny web server architecture.",https://doi.org/10.1136/bmjopen-2015-010579,Healthcare + visualization,,https://www.dropbox.com/scl/fi/qws3q8or0qy6ti64s6wcp/EHDViz-clinical-dashboard-development-using-open-source-technologies.pdf?rlkey=kdxzfq6b873532blbwknwer2k&dl=0,2nd round
Emergency Response to COVID-19 in Canada: Platform Development and Implementation for eHealth in Crisis Management,,2020,Health records,"health authorities, healthcare providers, decision-makers in the healthcare sector, academia, and potentially the private sector","[Policymakers], [Domain Subtype]: Public health officials, Researchers","They developed an innovative web-based solution addressing the seemingly insurmountable challenges of triaging, monitoring, and delivering nonhospital services unleashed by the COVID-19 pandemic",Model,Model-Developmental Visualization,"web-based platform with different types of graphs such as bar, line, pi and map",,https://doi.org/10.2196/18995,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/zfmkroy1dk00kclsrk4ye/Emergency-Response-to-COVID-19-in-CanadaPlatform-Development-and-Implementation-for-eHealth-in-Crisis-Management.pdf?rlkey=u5ewsp6k1gbakt1ac79rkoifv&dl=0,2nd round
Epigenetic lens to visualize the severe acute respiratory syndrome coronavirus-2 (SARS-CoV-2) infection in COVID-19 pandemic,,2021,Unsure (?) - multiple sources,not relevant; only microbiology viruses are depicted; biologists,,,,,"network visualization, ",,https://doi.org/10.3389/fgene.2021.581726,,not relevant,https://www.dropbox.com/scl/fi/d9n5of23ngoo7kohq63v7/Epigenetic-Lens-to-Visualize-the-Severe-Acute-Respiratory.pdf?rlkey=v8toxruo9o9ootxhct0t5sb0v&dl=0,1st round
EpiMob: Interactive Visual Analytics of Citywide Human Mobility Restrictions for Epidemic Control,IEEE TVCG,2023,"Mobility data and city POI data
Two databases: (i) a record of landline telephone numbers with their coordinates (lat, long); and (ii) human mobility data - GPS data of mobile phones (with lat, long)",epidemiologists,[Domain Subtype]: epidemiologists,They designed an interactive visual analytics system called Epidemic Mobility (EpiMob) to evaluate the effectiveness of human mobility restriction policies in controlling the spread of COVID-19.,Analyze/Visualize,Analytical Visualization,"heatmap, scatter map, scatter plot, histogram, line chart","The paper describes the development of an interactive visual analytics system, EpiMob, which facilitates the analysis of the effects of different human mobility restriction policies on the spread of COVID-19. ",https://doi.org/10.1109/TVCG.2022.3165385,Pandemic + visualization,,https://www.dropbox.com/scl/fi/ff24r3jsyhzxwi9ainiin/EpiMob_Interactive_Visual_Analytics_of_Citywide_Human_Mobility_Restrictions_for_Epidemic_Control.pdf?rlkey=jhqdxiahsd973kc5pbsoebit7&dl=0,1st & 2nd round
ESID: Exploring the Design and Development of a Visual Analytics Tool to Epidemiological Emergencies,IEEE VIS,2023,Unsure (?) - real and simulated data,"Epidemiology, Public Health, Immunology","[Domain Subtype]: Epidemiology, Public Health, Immunology","projecting the future developments of infectious disease spread. Users interact with the application to analyze reported and simulated data, explore different epidemiological scenarios, and make predictions about disease transmission dynamics. ",Analyze/Model,Model-Developmental Visualization,"map with a customisable heat legend, line chart, cards, lists","The development process involves collaborative and participatory design with project partners from diverse scientific fields, incorporating findings and guidelines derived from studies to shape the visualization tool.",https://doi.org/10.1109/Vis4PandEmRes60343.2023.00007,,Vis4PandEmRes,https://www.dropbox.com/scl/fi/s600z5k0yhrpf9ehgfj6m/ESID_Exploring_the_Design_and_Development_of_a_Visual_Analytics_Tool_for_Epidemiological_Emergencies.pdf?rlkey=ml727m6amirkbaa7zw0fjdyc9&dl=0,1st round
EventAction: A Visual Analytics Approach to Explainable Recommendation for Event Sequences,ACM TIIS,2019,,,,,,,interactive application,,https://doi.org/10.1145/3301402,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/u4vpkn4d0wsohjigzz1p4/EventAction-A-Visual-Analytics-Approach-to-Explainable-Recommendation-for-Event-Sequences.pdf?rlkey=s42lp6jkckttup5honerbesyz&dl=0,2nd round
Exploring the path to big data analytics success in healthcare,,2017,,,,,,,,,https://doi.org/10.1016/j.jbusres.2016.08.002,Healthcare + visualization,survey paper,https://www.dropbox.com/scl/fi/k2glkwdliqraeu3yy2kn5/Exploring-the-path-to-big-data-analytics-success-in-healthcare.pdf?rlkey=lo14waunpgobj2yvyi17po9qx&dl=0,2nd round
Exploring the Perspective of Oral Microbiome Studies in PubMed Database: A Bibliometric Appraisal,,2024,,,,,,,"bar chart, network visualization, tree map, line chart, thematica map, factorial map, dendrogram, ",,https://doi.org/10.7759/cureus.53824,Pandemic + visualization,"survey paper, bibliometric analysis",https://www.dropbox.com/scl/fi/h4dgwezwtic0gqzut4ypu/Exploring-the-Perspective-of-Oral-Microbiome.pdf?rlkey=t5ypso2w21c015s4huq4ieydq&dl=0,2nd round
Fast and flexible bacterial genomic epidemiology with PopPUNK,,2019,,,,,,,"it's about PopPUNK (Population Partitioning Using Nucleotide K-mers), a software implementing methods for population analysis and clustering.",,http://www.genome.org/cgi/doi/10.1101/gr.241455.118,Epidemiological modeling + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/0sn6z9d0awta50618s1bq/Fast-and-flexible-bacterial-genomic-epidemiology-with-PopPUNK.pdf?rlkey=rfooz9cdwla6f3bi0g3c8x6o3&dl=0,2nd round
Feature-Action Design Patterns for Storytelling Visualizations with Time Series Data,,2024,COVID-19 data,individuals who need to make personal decisions based on access to dynamic data regularly,[Public],"They developed a novel computer-assisted method for meta-authoring of stories, which enables the design of storyboards that include feature-action patterns in anticipation of potential features that may appear in dynamically arrived or selected data.",Model/Visualize,Model-Developmental Visualization,storytelling visualization with time series data,"involves a computer-assisted approach for meta-authoring of stories, allowing the design of storyboards that incorporate feature-action patterns",https://doi.org/10.48550/arXiv.2402.03116,Pandemic + visualization,,https://www.dropbox.com/scl/fi/6s3mx8ftxldhte2es7ur7/Feature-Action-Design-Patterns.pdf?rlkey=v1sbk43z3pjs7b094o9o1xuj4&dl=0,2nd round
Fighting Pandemics With Augmented Reality and Smart Sensing-Based Social Distancing,CG&A,2023,,,,,,,,,https://doi.ieeecomputersociety.org/10.1109/MCG.2022.3229107,Pandemic + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/1aqeicn0mucl7shb0n1l6/Fighting_Pandemics_With_Augmented_Reality_and_Smart_Sensing-Based_Social_Distancing.pdf?rlkey=gmhu0k1x3reji3owxcfx42i0r&dl=0,2nd round
Fog Computing in Healthcare Internet of Things: A Case Study on ECG Feature Extraction,,2015,,,,,,,,,https://doi.org/10.1109/CIT/IUCC/DASC/PICOM.2015.51,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/ut1r826cqoza2ckochq1p/Fog_Computing_in_Healthcare_Internet_of_Things_A_Case_Study_on_ECG_Feature_Extraction.pdf?rlkey=pskuep0quu4cbrtlf1zh2qxwc&dl=0,2nd round
Fostering Insight and Collaboration in Long-Term Healthcare through Collection and Visualization of Qualitative Healthcare Data,,2014,,,,,,,,,,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/a5jo0h9uy3r6lkvwpabxy/Fostering-Insight-and-Collaboration-in-Long-Term-Healthcare-through-Collection-and-Visualization-of-Qualitative-Healthcare-Data.pdf?rlkey=h2wsv5vwxwi3tqf5pcdg4l1rw&dl=0,2nd round
Fractional order SEIQRD epidemic model of Covid-19: A case study of Italy,,2023,,,,,,,mathematical model for studying COVID-19 transmission patterns,,https://doi.org/10.1371/journal.pone.0278880,Epidemiological modeling + visualization,no visualization,https://www.dropbox.com/scl/fi/dvhtgdkwbwab1uz3s8vdj/Fractional-order-SEIQRD-epidemic-model-of-Covid-19-A-case-study-of-Italy.pdf?rlkey=6uqb3un314f5culph24slrnfc&dl=0,2nd round
"Genomic characterization and epidemiology of an emerging SARS-CoV-2 variant in Delhi, India",,2021,,,,,,,,,https://doi.org/10.1126/science.abj9932,Epidemiological modeling + visualization,couldn't access,,2nd round
Geoinformational System for Risk Assessment Visualization,,2018,,,,,,,,,https://doi.org/10.1109/STC-CSIT.2018.8526743,Emergency responses + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/2pkynrdzi23xixze956v8/Geoinformational_System_for_Risk_Assessment_Visualization.pdf?rlkey=muoy1qf23mnpq5ucksfvd1wv8&dl=0,2nd round
Geospatial analysis of COVID-19: A scoping review,,2021,PubMed database,"survey, not relevant but may contain relevant citations",,,,,"word cloud, ",,https://doi.org/10.3390/ijerph18052336,,not relevant,https://www.dropbox.com/scl/fi/6utpwasart4h6cafltip6/Geospatial-Analysis-of-COVID-19-A-Scoping-Review.pdf?rlkey=0xk387prrwaqpfbojb6j5sn9w&dl=0,1st round
Global research trends in the COVID-19 and digestive disease: A review of visualization and bibliometric study,,2023,PubMed and Web of Science,not relevant; bibliometrics are visualized,,,,,"line chart, network visualization map, clusters with the network visualization map, pi chart, timeline visualization, ",,https://doi.org/10.1097/md.0000000000032705,,bibliometric analysis,https://www.dropbox.com/scl/fi/7s8kw72uwi3ez9plln6hk/Global-research-trends-in-the-COVID-19-and-digestive-disease-A-review-of-visualization-and-bibliometric-study.pdf?rlkey=lf76euyxb2awykenzn9sz37ht&dl=0,1st round
Global trends and future directions in online learning for medical students during and after the COVID-19 pandemic: A bibliometric and visualization analysis,,2023,,,,,,,map network visualization,,https://doi.org/10.1097/md.0000000000035377,Pandemic + visualization,"survey, bibliometric analysis",https://www.dropbox.com/scl/fi/fibi95df9ncue22811zup/global_trends_and_future_directions_in_online.136.pdf?rlkey=hpi655vyoftjufgid8m8nm1kj&dl=0,2nd round
Glyph-Based Video Visualization for Semen Analysis,IEEE TVCG,2015,,,,,,,,,https://doi.org/10.1109/TVCG.2013.265,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/rquasymnleacmcbph3oyr/Glyph-Based_Video_Visualization_for_Semen_Analysis.pdf?rlkey=qhsd76v1aotekg12sv2v3v3rr&dl=0,2nd round
Graphical Depiction of Longitudinal Study Designs in Health Care Databases,,2019,,,,,,,,,https://doi.org/10.7326/M18-3079,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/fst1lvym6cnzcuxlpkr7k/Graphical-Depiction-of-Longitud-in-a-Study-Designs-in-Health-Care-Databases.pdf?rlkey=flwrvsy8sta566923ahob2la6&dl=0,2nd round
GREEN TRANSFORMATIONS IN THE HEALTHCARE SYSTEM: THE COVID-19 IMPACT,,2020,,,,,,,"bar chart, time series line chart, network visualization, ",,https://doi.org/10.21272/hem.2020.1-04,Healthcare + visualization,survey paper,https://www.dropbox.com/scl/fi/q03aiheyxeizs3wvg7bqi/GREEN-TRANSFORMATIONS-IN-THE-HEALTHCARE-SYSTEM-THE-COVID-19-IMPACT.pdf?rlkey=blavz6bal8sbrsagai4ve7chm&dl=0,2nd round
Gridded glyphmaps for supporting spatial COVID-19 modelling,IEEE VIS,2023,COVID-19 infections,"vis technique, no dedicated users",[Public],the development of a repurposed COVID-19 infection model. This involves using gridded glyphmaps as a visual tool to support various aspects of model development,Model/Visualize,Model-Developmental Visualization,gridded glyphmaps,the use of gridded glyphmaps as a visual tool to support spatial model development. These glyphmaps provide a way to interactively summarize and visualize multivariate model data across different spatial scales.,https://doi.org/10.1109/VIS54172.2023.00009,,Best VIS Short Paper,https://www.dropbox.com/scl/fi/x8lefr8iu4yyee1q6vobd/Gridded_Glyphmaps_for_Supporting_Spatial_COVID-19_Modelling.pdf?rlkey=j61lo2akupryv29joksj0ccen&dl=0,1st round
HardVis: Visual Analytics to Handle Instance Hardness Using Undersampling and Oversampling Techniques,CGF,2023,,,,,,,,,https://doi.org/10.1111/cgf.14726,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/fbfkyaopvmkcqgj7li28x/HardVis-Visual-Analytics-to-Handle-Instance-Hardness-Using-Undersampling-and-Oversampling-Techniques.pdf?rlkey=kwik2584slrfli12axdcsswnr&dl=0,2nd round
HierarchicalTopics: Visually Exploring Large Text Collections Using Topic Hierarchies,IEEE Transactions on Visualization and Computer Graphics,2013,Unsure (?) - a collection of NSF awarded proposal abstracts and 2453 news articles published between Sept 2012 to March 2013 on CNN.com,"vis technique, no dedicated users",[Public],the analysis of large textual collections through topic-based text summarization methods coupled with interactive visualizations. The HierarchicalTopic (HT) system facilitates the representation and navigation of a large number of topics extracted from the textual corpora. ,Analyze/Visualize,Analytical Visualization,"Topic Rose tree visualization, temporal pattern of topics in a hierarchical fashion, Hierarchical ThemeRiver","this work integrates computational algorithms, such as the Topic Rose Tree, with interactive visual interfaces to facilitate topic analysis of large textual corpora. The HierarchicalTopic (HT) system allows users to interactively navigate the hierarchical topic structure, make changes based on their mental model of the topic space, and explore temporal patterns of topics. ",https://doi.org/10.1109/TVCG.2013.162,"healthcare, emergency response",,https://www.dropbox.com/scl/fi/3787tia9liq5568mi05mk/HierarchicalTopics_Visually_Exploring_Large_Text_Collections_Using_Topic_Hierarchies.pdf?rlkey=b0lm9kvejmjt4rszwmvjsze7o&dl=0,1st round
High-Volume Hypothesis Testing: Systematic Exploration of Event Sequence Comparisons,ACM TIIS,2016,,,,,,,,,https://doi.org/10.1145/2890478,Epidemiological modeling + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/12h29ddikjelm4jvf0jw8/High-Volume-Hypothesis-Testing-Systematic-Exploration-of-Event-Sequence-Comparisons.pdf?rlkey=wn8p9b3cn3t6glt4t4oc8ybd7&dl=0,2nd round
How did the German and other European electricity systems react to the COVID-19 pandemic?,,2021,"electricity demand, generation, prices, and imports/exports data from various countries in Europe, with a specific focus on Germany","policymakers, energy industry professionals, researchers","[Policymakers], [Domain Subtype]: energy industry professionals, researchers","They used data visualization and descriptive statistics to evaluate common figures for electricity systems and markets, comparing developments during the COVID-19 pandemic with those of previous years.",Analyze/Visualize,Observational Visualization,they analyzed how the electricity systems behaved during the COVID-19 pandemic,using data visualization and descriptive statistics to analyze the behavior of electricity systems during the COVID-19 pandemic,https://doi.org/10.1016/j.apenergy.2020.116370,Pandemic + visualization,,https://www.dropbox.com/scl/fi/2ve0skqz4b4qw66yb8tir/How-did-the-German-and-other-European-electricity-systems-react.pdf?rlkey=ykr8r5aonadc8u5n216xak7dd&dl=0,2nd round
Immune response visualized in vivo by [18F]-FDG PET/CT after COVID-19 vaccine,,2021,Unsure (?),"not relevant, medical image analysis",,,,,They provide a clinical example demonstrating that immune response could be associated with increased glucose metabolism in lymphoid organs ,,https://doi.org/10.3390/diagnostics11040676,,not relevant,https://www.dropbox.com/scl/fi/iqed0uluj7hjg25dpf2li/Immune-Response-Visualized-In-Vivo-by-18F-FDG-PETCT-after-COVID-19-Vaccine.pdf?rlkey=mwtijb8tqt24dpi69m3d04qqu&dl=0,1st round
Impact of COVID-19 forecast visualizations on pandemic risk perceptions,,2022,"From the Reich Lab COVID-19 Forecast Hub, a central repository of forecasts and predictions from over 50 international research groups.",evaluation of risk assessment; no dedicated users (maybe public),[Public],examine how COVID-19 visualizations influence risk perception,Analyze,Analytical Visualization,"line chart, bar chart, cluster visualization",analyzing the impact of different visualization techniques on participants' risk perceptions through online experiments,https://doi.org/10.1038/s41598-022-07502-y,,,https://www.dropbox.com/scl/fi/op3hkwgmttagu6bu9j0m8/Publisher-Correction-Impact-of-COVID-19-forecast-visualizations-on-pandemic-risk-perceptions.pdf?rlkey=7ap45t48mux76wzqvo0mrik11&dl=0,1st round
"Impacts of covid-19 on electric vehicle charging behavior: Data analytics, visualization, and clustering",,2022,EV dataset from a public charging facility in the USA,not relevant; meta study of correlating ev charging behaviour during pandemic; no dedicated users vis in paper only for reader,[Public],the investigation of the impacts of COVID-19 on EV charging behavior,Analyze,Observational Visualization,"line chart, bar chart, cluster visualization","utilizing data visualization techniques to analyze EV charging behavior during the COVID-19 pandemic. Additionally, clustering algorithms such as k-means, hierarchical clustering, and Gaussian mixture models are applied to identify common groups of charging behavior based on vehicle arrival and departure times. Internal validation measures are used to assess the performance of these clustering algorithms and compare the identified charging behavior groups.",https://doi.org/10.3390/asi5010012,,,https://www.dropbox.com/scl/fi/erchupatjc0mnwuubwv6q/Impacts-of-COVID-19-on-Electric-Vehicle-Charging-Behavior-Data-Analytics-Visualization-and-Clustering.pdf?rlkey=tmzqm3bwiftprtaqyar8itjjm&dl=0,1st round
Improving Healthcare with Interactive Visualization,,2013,,,,,,,"line chart, scatter plot, bar chart, box-plot, ",,https://doi.org/10.1109/MC.2013.38,Healthcare + visualization,,https://www.dropbox.com/scl/fi/j74o9pht8k4imtcwu56lc/Improving_Healthcare_with_Interactive_Visualization.pdf?rlkey=iktf1ifm2edy0gzkq4221fybg&dl=0,2nd round
Improving the Efficiency and Ease of Healthcare Analysis Through Use of Data Visualization Dashboards,,2016,,,,,,,,,https://doi.org/10.1089/big.2015.0059,Healthcare + visualization,couldn't access,,2nd round
Improving Usability through Enhanced Visualization in Healthcare,,2017,,,,,,,"line chart, ",,https://doi.org/10.1109/ISADS.2017.36,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/8ar2w47yg5srau48zl314/Improving_Usability_through_Enhanced_Visualization_in_Healthcare.pdf?rlkey=zxqcit42jkajo0jvuva6k8pnh&dl=0,2nd round
Informing the Design of Data Visualization Tools to Monitor the COVID-19 Pandemic in Portugal: A Web-Delphi Participatory Approach,,2022,"No specific mention of the data used except it looks like the typical timeseries Covid-19 data of infection, death, etc.","""educated public""",[Public],"to inform the design of data visualization tools, specifically dashboards for the COVID-19 context",Model,Disseminative Visualization,"dashboard, line chart, bar chart, pi chart, two sided bar chart, Choropleth map",designed Web-Delphi process was developed to gather feedback from the public regarding their preferences for visualization formats,https://doi.org/10.3390/ijerph191711012,,,https://www.dropbox.com/scl/fi/7l1rucuat6u2ccnjlqwjh/Informing-the-Design-of-Data-Visualization-Tools-to-Monitor-the-COVID-19-Pandemic-in-Portugal-A-Web-Delphi-Participatory-Approach.pdf?rlkey=ut6d7ddbfbfar83glk7zmgutw&dl=0,1st round
Integration and visualization public health dashboard: the medi+board pilot project,,2014,,public health professionals ,[Domain Subtype]: public health professionals ,"They proposed a new system, medi+board, monitoring epidemic intelligence sources and traditional case-based surveillance to better automate early warning, cross-validation of signals for outbreak detection and visualization of results on an interactive dashboard",Model,Observational Visualization,"interactive dashboard includes different visualization components like bar, line, pi charts, map and table","the development of a modular and configurable system, medi+board, to automate data processing and visualization for public health surveillance",https://doi.org/10.1145/2567948.2579276,Emergency responses + visualization,,https://www.dropbox.com/scl/fi/74uq7izbegkniebmfwhrv/Integration-and-visualization-public-health-dashboard-the-medi-board-pilot-project.pdf?rlkey=a08ipz36k8xr0lcqi4qz3u76j&dl=0,2nd round
Interactive Visualization of Healthcare Data Using Tableau,,2017,,,,,,,,,https://doi.org/10.4258/hir.2017.23.4.349,Healthcare + visualization,Not related with COVID-19 or any pandemic,https://www.dropbox.com/scl/fi/450se51x9hvh1azu9k8kg/Interactive-Visualization-of-Healthcare-Data-Using-Tableau.pdf?rlkey=wnwijvqubzsjy28b2yr7goz5m&dl=0,2nd round
Investigating the scientific landscape of global research on medical education related to coronavirus disease-2019 (covid-19): A bibliometric analysis and visualization,,2020,PubMed database,not relevant; bibliometrics are visualized,,,,,"line chart, network visualization map,  ",,https://doi.org/10.1097/MD.0000000000022849,,bibliometric analysis,https://www.dropbox.com/scl/fi/f1b6yjgsirr4a96we623v/the_covid_19_research_landscape__measuring_topics.94.pdf?rlkey=wc75anh5cme0bu0xa8vj1xbk4&dl=0,1st round
Knowledge graph analysis and visualization of AI technology applied in COVID-19,,2022,Web of Science database,not relevant; bibliometrics are visualized,,,,,"grouped bar chart, network visualization map, cluster analysis, ",,https://doi.org/10.1007/s11356-021-17800-z,,bibliometric analysis,https://www.dropbox.com/scl/fi/2sqn5udu6a815rdubqsvk/Knowledge-graph-analysis-and-visualization-of-AI-technology-applied-in-COVID-19.pdf?rlkey=x5hs5xv7lk182uueidls64plu&dl=0,1st round
Learning from lines: Critical COVID data visualizations and the quarantine quotidian,,2020,,,,,,,,,https://doi.org/10.1177/2053951720939236,Pandemic + visualization,survey paper,https://www.dropbox.com/scl/fi/wmes0i2oupgblz8ep0plp/bowe-et-al-2020-learning-from-lines-critical-covid-data-visualizations-and-the-quarantine-quotidian.pdf?rlkey=18t8zuxtjj1ce7xmywhiyduw7&dl=0,2nd round
